Item Name,Type,Category,Item Code,Sales Price,Quantity
Bubble Gun,Product,Toys And Dolls,2602136,"Rs. 2,500",2
Scissors (FARLIN),Product,Toys And Dolls,671,Rs. 450,3 PCS
Dr Gym Pair Silican Spoon,Product,Nursing And Feeding,1.281,Rs. 250,13
Baby Bow Spoon Set,Product,Nursing And Feeding,046|01.046,Rs. 450,3
Dr Gym Single Silican Spoon,Product,Nursing And Feeding,291|01.291,Rs. 225,1
Silicone Children Tableware,Product,Nursing And Feeding,570|02.570,Rs. 650,1
Bottle Cleaner A,Product,Care And Beauty/Hygiene,1.642,Rs. 250,20
Pacifier Holder,Product,Mumbuds,2.313,Rs. 500,16
Bany Comb And Brush Set,Product,Care And Beauty,572|01.572,Rs. 650,7
Hair Tools,Product,Care And Beauty,1.607,Rs. 350,11
Baby Feeding Spoon,Product,Nursing And Feeding,286,Rs. 350,35
Instant Snack 0.5Kg,Product,Food,1700121,Rs. 340,13
Instant Snacks,Product,Food,1700120,Rs. 670,2 KG
Hearth And Bow Set,Product,Clothes/Set Dress,22.119,"Rs. 1,750",2
Sunglasses,Product,Care And Beauty,51,Rs. 970,21
Beauty Tool,Product,Care And Beauty,290|02.290,Rs. 450,5
Baby Teether,Product,Toys And Dolls,4.608,Rs. 350,1
Fancy Long Socks,Product,Clothes/Shoes And Socks,4.113,"Rs. 1,150",10
Cartoon Light Earpick,Product,Care And Beauty,283|01.283,Rs. 250,1
Dr Gym Nail Cutter,Product,Care And Beauty,3.282,Rs. 150,12
Kiddy Cotton Buds,Product,Care And Beauty,1.11,Rs. 150,1
Nail Clipper Set,Product,Care And Beauty,2.300|02.300,Rs. 500,6
Bottle Nipple Liquid Cleanser,Product,Care And Beauty/Hygiene,4.687,"Rs. 1,400",1
Aiwibi Baby Laundry Detergent 1000ML,Product,Care And Beauty/Hygiene,4.017,"Rs. 1,090",1
Aiwibi Baby Body Lotion,Product,Care And Beauty,176|03.176,Rs. 650,6
Aiwibi Baby Bubble Wash And Shampoo,Product,Care And Beauty,1303463,Rs. 650,6
Aiwibi Baby Massage Oil,Product,Care And Beauty,3.461,Rs. 590,3
Aiwibi Baby Sunscreen Lotion,Product,Care And Beauty,401014,Rs. 690,29 PCS
Aiwibi Baby Adjustable Bib,Product,Mumbuds,490|03.490,Rs. 300,8
Breast Firming Cream,Product,Care And Beauty,514|03.514,"Rs. 1,200",6
Stretch Marks Cream,Product,Care And Beauty,515|03.515,Rs. 800,6
Melodika,Product,Toys And Dolls,2604408,Rs. 500,6
Teddy Bear Doll,Product,Toys And Dolls,00.798|14.798,Rs. 850,4
Miss Rachel Big Size,Product,Toys And Dolls,196|14.196,"Rs. 2,500",16
Ultra Air Night,Product,Care And Beauty,02.568|568,Rs. 500,7
Light Spot,Product,Toys And Dolls,15.089,Rs. 0,2
Domino Train,Product,Toys And Dolls,2202492,"Rs. 1,500",1 PCS
Fright Duck,Product,Toys And Dolls,2202303,"Rs. 1,000",3 PCS
Music Unicorn Toys,Product,Toys And Dolls,12.642,Rs. 450,15
Bubble Pen,Product,Toys And Dolls,743|00.743,Rs. 450,2
Diaper Rash Cream,Product,Care And Beauty,512|03.512,Rs. 700,12
U-Shape Brush,Product,Care And Beauty,566|02.566,Rs. 450,32
Baby Spoon Set,Product,Nursing And Feeding,294,Rs. 450,4
Glitter Tattoos Kit,Product,Care And Beauty,239|02.239,"Rs. 1,300",8
Baby Nail Trimmer,Product,Care And Beauty,791,Rs. 650,16
Children Straw Bottle,Product,Nursing And Feeding,4.801,Rs. 800,2
Cereal,Product,Food,1706070,Rs. 670,5 KG
Ragi Flour,Product,Food,1704069,Rs. 350,2
Zuvara Diaper NB 22 Pcs,Product,Mumbuds,4.684,Rs. 525,2
Simulated Kitchen Set,Product,Toys And Dolls,5.302,"Rs. 4,000",1
Little Cute Ducks,Product,Toys And Dolls,0.802,"Rs. 1,250",5
Aiwibi Baby Feesing Bottle 240ML,Product,Nursing And Feeding,3.495,"Rs. 1,490",7
Aiwibi Water Bottle With Straw 300ML,Product,Nursing And Feeding,3.177,"Rs. 1,340",7
Dinosaure Hat,Product,Clothes/Topi,0.757,Rs. 650,3
Hot Bowl,Product,Nursing And Feeding,0.799,Rs. 550,25
Pumpum Topi,Product,Clothes/Topi,721,Rs. 450,5
Aiwibi Baby Wet Wipes,Product,Mumbuds,3.004,Rs. 200,43
MumBuds Diaper XLL 34 Pcs,Product,Mumbuds,3.054,"Rs. 1,100",6
MumBuds Diaper NB 22 Pcs,Product,Mumbuds,3.052,Rs. 525,10
MumBuds Diaper Large 40 Pcs,Product,Mumbuds,3.051,"Rs. 1,100",6
MumBuds Diaper Medium 40 Pcs,Product,Mumbuds,03.050|6940542774509,"Rs. 1,100",6
MumBuds Diaper Small 40 Pcs,Product,Mumbuds,03.049|6940542770594,"Rs. 1,100",9
Girls Dhori Topi,Product,Clothes/Topi,0.828,Rs. 400,6
Bear Romper,Product,Clothes/Romper,23.726,"Rs. 1,250",1
Rockey Set Dress,Product,Clothes/Set Dress,0.832,"Rs. 1,850",5
Natura Extra Virgin Coconut Oil Enrched And Cold-Pressed 180ML,Product,Care And Beauty/Natural Earth,1400542,Rs. 500,2 PCS
Natural Extra Virgin Coconut Oil Infused With Algae 500ML,Product,Care And Beauty/Natural Earth,1400543,"Rs. 1,600",2
E Book,Product,Toys And Dolls,20.615|12.615,"Rs. 1,250",18
Water Jar,Product,Toys And Dolls,2102741,Rs. 850,6
3 Pcs Set Dress,Product,Clothes/Set Dress,22.035,"Rs. 1,960",50
Baby Zip Romper,Product,Clothes/Romper,19.034,"Rs. 2,000",25
Handheld KTV Mike,Product,Toys And Dolls,616|11.616,"Rs. 1,100",33
Glitter Makeup Set,Product,Care And Beauty,15.788,"Rs. 2,800",1
Nuts And Seeds,Product,Food,2500510,Rs. 450,6
Fashion Beauty Makeup Kit,Product,Care And Beauty,2101025,"Rs. 2,500",4
Grips Socks,Product,Clothes/Shoes And Socks,0.83,Rs. 250,12
Baby Unisex Shoes,Product,Clothes/Shoes And Socks,0.825,Rs. 550,9
Angora Syltan Stocking,Product,Clothes,0.821,Rs. 700,27
Daliya,Product,Food,1701502,Rs. 465,2
Sudo Cream 125Gram,Product,Care And Beauty,1403664,"Rs. 3,000",9
Bubble Set Dress,Product,Clothes/Set Dress,0.834,"Rs. 1,800",11
Woolen High Neck,Product,Clothes,7.819,Rs. 650,1
Cardigan,Product,Flair Nepal,0.838,"Rs. 1,250",1
Nutri Flour Stage 4 Half Kg,Product,Food,1704499,Rs. 325,9
Nutri Flour Stage 4,Product,Food,1704482,Rs. 640,4 KG
Nutri Flour Stage 3 Half Kg,Product,Food,25.498,Rs. 320,7
Nutri Flour Stage 3,Product,Food,1702481,Rs. 630,3 KG
Nutri Flour Stage 2 Half Kg,Product,Food,25.497,Rs. 315,2
Nutri Flour Stage 1 Half Kg,Product,Food,25.496,Rs. 305,3
Nutri Flour Stage 1 Half Kg,,,,,
